title,booker_year,longlist,shortlist,winner,places,ratingHistogram,ratingsCount,reviewsCount,one_star,two_star,three_star,four_star,five_star,average_rating,numPages,language,awards,series,Fiction,Literary.Fiction,Novels,Contemporary,Literature,Historical.Fiction,Audiobook,Historical,British.Literature,Adult,Adult.Fiction,X21st.Century,Book.Club,Mystery,Family,Ireland,Fantasy,Irish.Literature,Unfinished,War,Africa,Crime,Asia,LGBT,Science.Fiction,India,Romance,Canada,Queer,Humor,publish_year,publish_month,publish_day,first_award,url,titleComplete,description,imageUrl,genres,asin,isbn,isbn13,publisher,author,publishDate,characters
If the Invader Comes,2001,1,0,0,,"1, 0, 3, 3, 1",8,NA,1,0,3,3,1,3.375,384,English,"[{'name': 'Booker Prize', 'awardedAt': 978336000000, 'category': 'Longlist', 'hasWon': None}]",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2002,8,2,"[{'name': 'Booker Prize', 'awardedAt': 978336000000, 'category': 'Longlist', 'hasWon': None}",https://www.goodreads.com/book/show/2839156-if-the-invader-comes,If the Invader Comes,"A critically acclaimed, Booker long-listed novel that is reminiscent of Pat Barker’s ‘Regeneration Trilogy’. Clarice Pike and Vic Warren are from completely different backgrounds. An impossible affair has already driven them thousands of miles apart. 1939 finds Clarice in Malaya where her father is an obscure company doctor, and Vic in East London, an unemployed shipwright badly married to Phylis, Clarice’s cousin. As their feelings conspire to draw the lovers back together, the world erupts with a terrible violence. It is the relentlessness of male brutality that forces Vic to grope towards what real manhood might be.‘If the Invader Comes’ combines themes from Derek Beaven’s previously acclaimed ‘Newton’s Niece’ and ‘Acts of Mutiny’ to portray a wartime England where human relationships are threatened as much from within the family as from occupied Europe. Exciting, moving and ultimately optimistic, Derek Beaven’s new novel represents a daring leap in British fiction.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1391789674i/2839156.jpg,[],1841155926,1841155926,9.78184e+12,HarperCollins Publishers,['Derek Beaven'],1.02827e+12,
Jazz Etc.,2003,1,0,0,,"1, 2, 8, 5, 1",17,2,1,2,8,5,1,3.176470588,261,English,"[{'name': 'Booker Prize', 'awardedAt': 1041408000000, 'category': 'Longlist', 'hasWon': None}]",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2003,1,1,"[{'name': 'Booker Prize', 'awardedAt': 1041408000000, 'category': 'Longlist', 'hasWon': None}",https://www.goodreads.com/book/show/2835751-jazz-etc,Jazz Etc.,"Meet Vince Mori, an Italian Cumbrian, and a very passionate man. Vince is obsessed with women, the clarinet, and his trad jazz band, the Chompin Stompers. His romantic son Enzo is obsessed with only one woman, his brilliant Oxford contemporary, the world-famous guitarist, Fanny Golightly. Unfortunately, single-minded Fanny only has eyes for a Portuguese musical legend caled Toto Cebola. John Murray's revelatory new novel is the ideal read for all those interested in the cosmopolitan music scene and the Eternal Triangle.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347577993i/2835751.jpg,[],1873226624,1873226624,9.78187e+12,FLAMBARD PRESS,['John Murray'],1.04141e+12,
Fairness,2001,1,0,0,,"0, 5, 4, 6, 2",17,2,0,5,4,6,2,3.294117647,306,English,"[{'name': 'Booker Prize', 'awardedAt': 978336000000, 'category': 'Longlist', 'hasWon': None}]",['Chronicle of Modern Twilight'],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2002,7,10,"[{'name': 'Booker Prize', 'awardedAt': 978336000000, 'category': 'Longlist', 'hasWon': None}",https://www.goodreads.com/book/show/1411628.Fairness,Fairness,"This ingenious and inventive novel—nominated for the Book Prize Long List for 2001 from the award-winning author of Jem (and Sam)—at once comprises an autobiography of Aldous (Gus) Cotton, an English civil servant with breathing problems and chronic sexual learning difficulties, and an erratic history of modern England. It is also and more so the story of Helen Hardress, the serious, slim, blond young woman who quickens Gus’s pulse when they first meet in Normandy one summer in the early 1960s as she will, off and on, for the next twenty years. For no one’s life is quite the same once Helen Hardress has passed through it. Least of all, that of the long-pining Gus. “Reading Ferdinand Mount is as much fun as pink gin.”—Michael Gorra, New York Times Book Review “Fairness is funny, touching, picaresque, decked out with eccentric characters, improbable, artful and, rarest of all, unfailingly entertaining.”—Michael Dirda, Washington Post Book World “A quick, witty read with resonance.”—Baltimore Sun",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1183394430i/1411628.jpg,[],0786709928,0786709928,9.78079e+12,Carroll & Graf,['Ferdinand Mount'],1.02628e+12,
The Nick of Time,2003,1,0,0,,"0, 2, 6, 10, 2",20,4,0,2,6,10,2,3.6,NA,English,"[{'name': 'Booker Prize', 'awardedAt': 1041408000000, 'category': 'Longlist', 'hasWon': None}]",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2003,4,1,"[{'name': 'Booker Prize', 'awardedAt': 1041408000000, 'category': 'Longlist', 'hasWon': None}",https://www.goodreads.com/book/show/1390987.The_Nick_of_Time,The Nick of Time,"Longlisted for the Man Booker Prize 2003. This provocative and adventurous novel explores the havoc wrought when a young Kosovan-an illegal immigrant-finds himself in London. Mehmet leads a double life of befriending and lodging with an elderly woman who suffers from multiple sclerosis, while at the same time having an affair with a woman doctor and throwing himself into the London gay scene. Disaster looms when Mehmet begins a new relationship and is quickly arrested because of his illegal status.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347416164i/1390987.jpg,[],1900850788,1900850788,9.7819e+12,Arcadia Books Ltd,['Francis  King'],1.04918e+12,
Us,2014,1,0,0,,"0, 0, 5, 8, 7",20,2,0,0,5,8,7,4.1,NA,English,[],,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,https://www.goodreads.com/book/show/71024724-us,Us,,,[],0062376748,0062376748,9.78006e+12,New York: Harper,['David   Nichols'],NA,
The Strange Case of Dr. Simmonds and Dr. Glas,2002,1,0,0,,"1, 8, 10, 11, 1",31,3,1,8,10,11,1,3.096774194,208,English,"[{'name': 'Booker Prize', 'awardedAt': 1009872000000, 'category': 'Longlist', 'hasWon': None}, {'name': 'Jewish Quarterly-Wingate Prize', 'awardedAt': 1041408000000, 'category': 'Fiction', 'hasWon': None}]",,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2003,4,1,"[{'name': 'Booker Prize', 'awardedAt': 1009872000000, 'category': 'Longlist', 'hasWon': None}",https://www.goodreads.com/book/show/1348716.The_Strange_Case_of_Dr_Simmonds_and_Dr_Glas,The Strange Case of Dr. Simmonds and Dr. Glas,"Inspired by the disturbing 1905 Swedish classic, Dr. Glas by Hjalmar Soderberg, a novel that explores the possibility of pure moral murder, and with more than a nod to Robert Louis Stevenson’s The Strange Case of Dr. Jekyll and Mr. Hyde, Dannie Abse draws on his own medical experience in this haunting tale of Dr. Simmonds—a man whose face has been disfigured in a childhood accident and whose heart is scarred by unacknowledged monsters. Dr. Simmonds, a general practitioner tending mostly to Jewish refugees from Nazi Germany who have settled in the precincts of London’s Swiss Cottage, finds himself irresistibly drawn into an increasingly disturbing fantasy life by Yvonne Bloomberg, the young wife of one of his more (to him) execrable patients. When she presents Simmonds with a copy of the novel Dr. Glas, in which a doctor colludes with a patient to murder her husband, the boundaries between reality and fantasy begin to blur and Simmonds begins to act upon impulses from a darker, undoctorly, scarred side of his nature. He sets out on a course that withholds its full horror until the very end of this brilliant Booker nominee.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1182910773i/1348716.jpg,"['Mystery', 'Fiction']",0786712015,0786712015,9.78079e+12,Carroll & Graf,['Dannie Abse'],1.04918e+12,
The Element of Water,2001,1,0,0,,"1, 1, 14, 10, 9",35,7,1,1,14,10,9,3.714285714,253,English,"[{'name': 'Booker Prize', 'awardedAt': 978336000000, 'category': 'Longlist', 'hasWon': None}, {'name': 'Orange Prize', 'awardedAt': 1009872000000, 'category': 'Longlist', 'hasWon': None}]",,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2002,3,1,"[{'name': 'Booker Prize', 'awardedAt': 978336000000, 'category': 'Longlist', 'hasWon': None}",https://www.goodreads.com/book/show/2839180-the-element-of-water,The Element of Water,"In pre-war Germany, two boys grow up together inseparable. However, as adulthood approaches and Nazism continues its inexorable march, Dahl and Quantz can no longer reconcile their childhood friendship as one becomes an SS officer and the other a pawn in the intelligence unit. Thirteen years later, their children meet: a woman and a man exposed to the sins of their fathers.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1372907156i/2839180.jpg,['Historical Fiction'],070434730X,070434730X,9.7807e+12,The Women's Press Ltd,['Stevie Davies'],1.01497e+12,
Peacetime,2002,1,0,0,,"3, 4, 15, 17, 6",45,9,3,4,15,17,6,3.422222222,384,English,"[{'name': 'Booker Prize', 'awardedAt': 1009872000000, 'category': 'Longlist', 'hasWon': None}]",,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2003,7,1,"[{'name': 'Booker Prize', 'awardedAt': 1009872000000, 'category': 'Longlist', 'hasWon': None}",https://www.goodreads.com/book/show/1704721.Peacetime,Peacetime,"In 1946, into a suspicious and isolated community comes James Mercer, employed in the demolition of gun platforms. He befriends the wife and daughter of Lynch, a soldier soon to be released from the military. Lynch's return threatens violence; and in a place where nothing has changed for decades, where peacetime feels no different than wartime, Mercer finds himself powerless to prevent events quickening to their violent and unexpected conclusion.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328835210i/1704721.jpg,['Fiction'],0552772062,0552772062,9.78055e+12,Black Swan,['Robert Edric'],1.05704e+12,
Turn Again Home,2003,1,0,0,,"1, 4, 11, 18, 15",49,12,1,4,11,18,15,3.857142857,405,English,"[{'name': 'Booker Prize', 'awardedAt': 1041408000000, 'category': 'Longlist', 'hasWon': None}]",,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2003,1,1,"[{'name': 'Booker Prize', 'awardedAt': 1041408000000, 'category': 'Longlist', 'hasWon': None}",https://www.goodreads.com/book/show/1964429.Turn_Again_Home,Turn Again Home,Book by Carol Birch,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1358742997i/1964429.jpg,"['Historical Fiction', 'Fiction']",1860499724,1860499724,9.78186e+12,Virago Press,['Carol Birch'],1.04141e+12,
The Unnumbered,2004,1,0,0,,"3, 4, 19, 23, 11",60,12,3,4,19,23,11,3.583333333,358,English,"[{'name': 'Booker Prize', 'awardedAt': 1072944000000, 'category': 'Longlist', 'hasWon': None}]",,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2004,1,1,"[{'name': 'Booker Prize', 'awardedAt': 1072944000000, 'category': 'Longlist', 'hasWon': None}",https://www.goodreads.com/book/show/1854029.The_Unnumbered,The Unnumbered,"Contemporary London. You know what that's like. But there's another London too, another the streets are swirling with them. They have no jobs, no driving licence, no social security, no identity of any sort. They pass us by every day; the unnumbered. Nio and Mila are two of the unnumbered. Nio the dreamer has built a home for himself in Coldfall Woods. Mila the realist has just bought herself an identity, and works as a checkout girl. It's a their start. Mila's going to reach the stars some day. They can feel it in the air. Lucas Tooth can sense it too. He works his charm on all these women; the hopeful, the sad, the desperate. But only when they feel the fear does it bring him the pleasure. And now it's Mila's turn. Together, Nio and Mila will take on this London and all it can throw at them. But it is not an easy city. It exacts a hard tribute. The city has brought them together. The city could tear them apart.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1408926792i/1854029.jpg,['Fiction'],074324852X,074324852X,9.78074e+12,Scribner,['Sam North'],1.07294e+12,
